	Axis1_17.97	Axis2_9.11	Axis3_4.54	Axis4_3.30	Axis5_2.87
41L_Month1_15	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month1_16	-0.007721876	0.006450359	-0.003042924	0.002696291	0.001152597
41L_Month1_17	-0.009830821	0.007004583	-0.003707177	0.003455165	-0.00581611
41L_Month1_18	0.022018638	-0.002746469	-0.001209473	-0.003199567	0.007112053
41L_Month1_19	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41L_Month1_1	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month1_20	0.015989266	-0.008079276	0.006510904	-0.001644048	0.013113005
41L_Month1_21	-0.002062241	0.002563017	-0.001256705	0.000321009	-0.005359415
41L_Month1_22	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month1_23	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Month1_24	0.009900158	-0.001945103	0.001351849	-0.001505433	0.002598043
41L_Month1_2	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month1_3	-0.007700315	0.00647665	-0.003030359	0.002679973	0.001138955
41L_Month1_4	-0.011939371	0.008971921	-0.005556272	0.004665067	-0.004098542
41L_Month1_5	0.012327119	0.004736832	-0.004142891	0.000163155	-0.006121139
41L_Month1_6	-0.000146143	0.0020959	-0.000727614	-0.000474709	0.00154385
41L_Month1_7	0.008161776	-0.004741549	0.001383382	-0.000654087	0.000726544
41L_Month1_8	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month1_9	0.019867379	-0.003840103	0.001549788	0.002217547	0.003260503
41L_Month3_10	0.053142858	-0.017429602	0.006650765	-0.009526962	0.005610806
41L_Month3_11	0.017256321	-0.006305775	-0.002868539	-0.008677983	-0.001632173
41L_Month3_12	-0.012238435	0.0100346	-0.005417716	0.004852109	-0.00409488
41L_Month3_13	0.026439296	-0.010739009	0.035987781	0.005899767	0.013287945
41L_Month3_14	0.007915745	-0.004942549	0.001512925	-0.000574593	0.000727838
41L_Month3_16	0.061799739	-0.02340623	0.00838814	0.005108655	-0.020795049
41L_Month3_17	0.008175712	-0.002836384	0.001743772	-0.001855672	0.002867697
41L_Month3_18	0.04560524	-0.009663153	-0.002901191	-0.0037661	-0.00013334
41L_Month3_1	0.010796415	-0.003795027	0.001455463	-0.000953375	0.001057964
41L_Month3_21	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41L_Month3_22	-0.010450738	0.010917754	-0.004081359	0.003229063	-0.003858676
41L_Month3_23	0.04064074	-0.017828639	0.004425385	-0.004978197	0.006927714
41L_Month3_24	0.018869442	-0.001253354	-0.002564306	-0.000135166	-0.008267735
41L_Month3_2	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month3_3	0.044058562	-0.011325248	0.00045652	6.56E-05	0.007228278
41L_Month3_4	0.008044819	-0.004890169	0.001489938	-0.000556063	0.000763912
41L_Month3_5	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month3_6	0.032806362	-0.005475598	0.000144387	0.002570541	0.002023489
41L_Month3_7	0.020238771	-0.002336909	-0.004794669	0.002677713	0.001570017
41L_Month3_8	0.004322771	-0.003666419	-0.010416995	-0.000558856	-0.001887138
41L_Month3_9	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month6_10	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_11	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_12	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month6_13	0.009439206	-0.004614922	-0.000422427	0.000394198	-0.005931713
41L_Month6_14	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_15	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month6_16	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month6_17	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41L_Month6_18	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_19	-0.011855832	0.006082055	-0.010332299	-0.026319857	-0.006504051
41L_Month6_1	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_20	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_21	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_22	0.006264162	-0.004263324	0.000803049	6.56E-05	-0.006176086
41L_Month6_23	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Month6_24	-0.004422351	0.005364611	-0.002814634	0.001710766	-0.003483637
41L_Month6_2	0.006264162	-0.004263324	0.000803049	6.56E-05	-0.006176086
41L_Month6_3	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month6_4	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41L_Month6_5	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month6_6	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month6_7	0.008199189	-0.002813431	0.001761894	-0.001875754	0.002849021
41L_Month6_8	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41L_Month6_9	0.008032293	-0.004793867	0.001407078	-0.000672462	0.000690284
41N_Day7_10	-0.025604443	0.021202115	-0.017366613	-0.022039209	0.004556802
41N_Day7_11	0.016250409	-0.005489327	-0.011820694	0.000216963	-0.008393115
41N_Day7_12	0.00733588	-0.007227346	-0.006853997	-0.002068443	0.007518998
41N_Day7_13	-0.004605811	0.007756395	-0.002822765	0.00077541	-0.00162897
41N_Day7_14	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41N_Day7_15	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41N_Day7_16	0.007110701	-0.004795231	0.001302026	-0.000533562	0.000681227
41N_Day7_17	0.016437264	-0.00689812	-0.006670166	-0.036584956	0.014188657
41N_Day7_18	0.015696406	-0.004121747	-0.006214199	0.001693563	-0.00524527
41N_Day7_19	0.013169279	-0.005844236	-0.000233786	-0.000533311	0.000437543
41N_Day7_1	0.011288786	-0.00039533	-0.003874059	0.00336713	-0.008437346
41N_Day7_20	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41N_Day7_21	0.026490323	-0.003388404	-0.002566516	-0.010538797	0.00666684
41N_Day7_22	0.010723597	-0.002887428	-0.000108091	0.00120052	-0.00712802
41N_Day7_23	0.023311013	-0.006294242	-0.011797037	0.004141175	-0.006681699
41N_Day7_24	0.01362829	-0.005578749	0.003358462	-0.00180312	0.00403738
41N_Day7_2	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41N_Day7_3	0.037007264	-0.01197311	-0.003704599	-0.011282107	0.008725452
41N_Day7_4	0.008485427	-0.004682737	0.001140404	-0.00038911	0.000382714
41N_Day7_5	0.03276217	-0.009311147	-0.001124889	-0.00054294	-0.00814932
41N_Day7_6	0.036356244	-0.019482985	-0.003028359	-0.001437703	-0.015848315
41N_Day7_7	0.011829923	-0.001778668	-8.21E-05	-0.000287803	0.001088035
41N_Day7_8	0.028094089	-0.005084219	7.74E-05	-0.000826114	-0.004767926
41N_Day7_9	0.039862691	-0.016801594	0.007135265	0.001667921	0.00329925
