	41B_Day7	41B_Month1	41B_Month3	41B_Month6	41LL_Day7	41LL_Month3	41LL_Month6	41L_Day3	41L_Day7	41L_Month1	41L_Month10	41L_Month3	41L_Month6	41N_Day7	41N_Month1	41N_Month3	41N_Month6	41R_Day3	41R_Day7	41R_Month1	41R_Month10	41R_Month3	41R_Month6	42L_Day7	42L_Month3	42L_Month6	42N_Day7	42N_Month3	42N_Month6	42R_Day7	42R_Month3	42R_Month6	43B_Day7	43B_Month6	43L_Day7	43L_Month6	43N_Day7	43N_Month6	43R_Day7	43R_Month6	44B_Day7	44B_Month6	44L_Day7	44L_Month6	44N_Day7	44N_Month1	44N_Month6	44R_Day3	44R_Day7	44R_Month1	44R_Month10	44R_Month6	45L_Day7	45L_Month3	45N_Day7	45N_Month3	45R_Day7	46L_Day7	46L_Month6	46N_Day3	46N_Day7	46N_Month1	46N_Month10	46N_Month6	46R_Day7	46R_Month1	46R_Month6
group_32	22	8	18	20	15	15	22	21	16	19	22	15	21	3	9	17	24	19	9	13	22	19	23	24	14	12	23	18	17	24	15	16	24	21	23	22	23	22	21	24	23	18	23	16	23	8	18	22	23	17	22	16	22	18	21	16	22	17	14	21	22	10	15	16	19	10	13
group_211	24	10	16	15	13	17	19	20	17	21	22	13	16	10	12	15	14	19	16	22	22	17	17	24	14	16	22	17	18	20	15	18	18	18	24	21	23	18	21	17	24	17	21	14	23	9	12	20	23	21	24	13	19	18	21	17	20	17	17	21	22	19	22	18	19	16	17
mbeA	15	13	20	23	23	17	24	22	21	20	17	19	22	23	15	21	24	21	23	21	17	11	22	10	15	24	10	18	24	15	23	22	16	24	5	19	11	23	15	24	9	23	11	24	14	15	24	22	9	18	17	24	13	18	15	11	12	3	21	21	8	21	18	17	4	13	24
group_62	15	14	21	24	23	17	21	21	22	19	10	18	24	24	15	21	23	21	23	21	14	11	23	10	16	24	9	19	21	15	22	23	15	22	5	21	11	23	14	22	9	23	11	24	14	14	23	22	9	18	16	23	13	18	16	10	12	3	21	21	7	22	19	17	3	11	22
group_207	16	10	15	13	12	17	16	10	15	17	19	13	13	10	11	12	12	14	13	21	19	17	14	20	13	13	18	16	18	17	13	16	15	16	21	18	19	14	20	16	23	12	18	10	19	9	10	13	22	20	19	10	16	16	17	15	19	17	16	17	22	16	22	17	19	15	16
group_210	8	0	5	9	6	2	8	13	6	4	4	2	9	1	1	6	12	9	6	1	5	3	9	4	3	5	6	3	2	7	5	4	9	8	3	6	5	10	4	8	1	8	6	8	5	1	11	11	2	1	5	7	6	5	7	3	5	0	4	5	2	3	1	5	0	1	3
group_213	0	0	4	7	5	2	5	3	4	0	1	2	6	1	0	3	10	4	3	0	2	3	6	0	2	2	2	2	2	4	3	2	6	6	0	3	1	6	3	7	0	3	3	4	1	1	9	4	1	0	0	4	3	3	3	1	4	0	3	1	2	0	1	4	0	0	2
group_217	0	0	3	2	3	0	3	1	2	0	1	1	4	1	0	1	4	3	3	0	2	3	6	0	1	1	2	2	2	3	3	1	2	2	0	2	1	3	2	3	0	1	1	4	0	1	8	4	1	0	0	3	3	2	2	1	3	0	2	1	2	0	1	2	0	0	1
group_222	0	0	3	2	3	0	3	1	2	0	1	1	4	1	0	1	4	3	3	0	2	3	6	0	1	1	2	2	2	3	3	1	2	2	0	2	1	3	2	3	0	1	1	4	0	1	8	4	1	0	0	3	3	2	2	1	3	0	2	1	2	0	1	2	0	0	1
group_300	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	4	6	0	5	15	0	5	0	0
group_301	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	4	6	0	5	15	0	5	0	0
rcsB	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	4	6	0	5	15	0	5	0	0
group_305	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	4	6	0	5	15	0	5	0	0
group_8	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	4	6	0	5	15	0	5	0	0
intB_1	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	3	5	0	5	15	0	5	0	0
virF	1	0	0	0	0	0	0	4	0	8	4	0	0	0	0	0	0	3	0	10	3	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	1	0	1	0	0	4	0	8	12	0	0	0	0	0	0	1	3	5	0	5	15	0	5	0	0
